Year,Month,Monthly_Anomaly,Monthly_Unc,Annual_Anomaly,Annual_Unc,FiveYear_Anomaly,FiveYear_Unc,TenYear_Anomaly,TenYear_Unc,TwentyYear_Anomaly,TwentyYear_Unc
1853,4,-0.229,0.405,-0.202,0.252,-0.3,0.167,,,,
1853,5,-0.115,0.384,-0.229,0.261,-0.3,0.17,,,,
1853,6,-0.016,0.29,-0.23,0.264,-0.298,0.171,,,,
1853,7,-0.146,0.387,-0.235,0.264,-0.297,0.174,,,,
1853,8,-0.232,0.399,-0.265,0.267,-0.296,0.181,,,,
1853,9,-0.165,0.319,-0.261,0.273,-0.293,0.189,,,,
1853,10,-0.255,0.356,-0.272,0.272,-0.292,0.195,,,,
1853,11,-0.406,0.263,-0.294,0.27,-0.293,0.198,,,,
1853,12,-0.264,0.359,-0.319,0.27,-0.291,0.198,,,,
1854,1,-0.565,0.612,-0.33,0.273,-0.292,0.2,,,,
1854,2,-0.486,0.515,-0.329,0.257,-0.296,0.201,,,,
1854,3,-0.258,0.337,-0.325,0.252,-0.301,0.204,,,,
1854,4,-0.361,0.398,-0.326,0.248,-0.303,0.207,,,,
1854,5,-0.37,0.35,-0.3,0.246,-0.299,0.209,,,,
1854,6,-0.318,0.289,-0.298,0.233,-0.304,0.21,,,,
1854,7,-0.286,0.34,-0.27,0.219,-0.301,0.205,,,,
1854,8,-0.212,0.202,-0.25,0.219,-0.305,0.206,,,,
1854,9,-0.119,0.252,-0.245,0.217,-0.306,0.206,,,,
1854,10,-0.27,0.368,-0.242,0.207,-0.304,0.207,,,,
1854,11,-0.086,0.315,-0.233,0.202,-0.305,0.212,,,,
1854,12,-0.242,0.344,-0.224,0.212,-0.31,0.216,-0.355,0.173,,
1855,1,-0.238,0.43,-0.236,0.218,-0.318,0.216,-0.354,0.171,,
1855,2,-0.241,0.498,-0.233,0.237,-0.322,0.218,-0.35,0.171,,
1855,3,-0.199,0.257,-0.238,0.239,-0.33,0.217,-0.348,0.171,,
1855,4,-0.322,0.328,-0.218,0.231,-0.331,0.217,-0.343,0.173,,
1855,5,-0.258,0.383,-0.226,0.229,-0.337,0.215,-0.342,0.173,,
1855,6,-0.217,0.453,-0.245,0.244,-0.338,0.212,-0.34,0.173,,
1855,7,-0.431,0.435,-0.253,0.247,-0.34,0.208,-0.341,0.172,,
1855,8,-0.172,0.424,-0.257,0.239,-0.342,0.205,-0.342,0.172,,
1855,9,-0.177,0.314,-0.254,0.263,-0.341,0.203,-0.34,0.173,,
1855,10,-0.032,0.279,-0.284,0.275,-0.344,0.204,-0.34,0.174,,
1855,11,-0.184,0.402,-0.295,0.267,-0.348,0.21,-0.341,0.175,,
1855,12,-0.466,0.4,-0.292,0.249,-0.355,0.213,-0.34,0.177,,
1856,1,-0.333,0.46,-0.274,0.238,-0.359,0.214,-0.339,0.18,,
1856,2,-0.296,0.494,-0.308,0.212,-0.359,0.213,-0.344,0.181,,
1856,3,-0.16,0.604,-0.349,0.209,-0.363,0.21,-0.344,0.183,,
1856,4,-0.683,0.348,-0.381,0.227,-0.364,0.208,-0.338,0.184,,
1856,5,-0.386,0.357,-0.4,0.242,-0.364,0.208,-0.339,0.184,,
1856,6,-0.182,0.359,-0.417,0.234,-0.367,0.206,-0.337,0.183,,
1856,7,-0.213,0.363,-0.437,0.229,-0.366,0.2,-0.338,0.182,,
1856,8,-0.59,0.179,-0.467,0.227,-0.363,0.196,-0.337,0.186,,
1856,9,-0.667,0.343,-0.513,0.214,-0.366,0.195,-0.336,0.189,,
1856,10,-0.409,0.388,-0.507,0.207,-0.364,0.195,-0.337,0.188,,
1856,11,-0.417,0.416,-0.506,0.219,-0.361,0.193,-0.332,0.188,,
1856,12,-0.666,0.346,-0.521,0.228,-0.357,0.191,-0.334,0.188,,
1857,1,-0.578,0.307,-0.556,0.222,-0.36,0.191,-0.333,0.184,,
1857,2,-0.653,0.431,-0.545,0.24,-0.36,0.194,-0.336,0.184,,
1857,3,-0.708,0.3,-0.53,0.234,-0.368,0.193,-0.336,0.182,,
1857,4,-0.612,0.355,-0.529,0.221,-0.369,0.192,-0.334,0.181,,
1857,5,-0.381,0.405,-0.53,0.213,-0.372,0.194,-0.333,0.182,,
1857,6,-0.364,0.471,-0.501,0.207,-0.375,0.196,-0.336,0.183,,
1857,7,-0.634,0.331,-0.505,0.228,-0.376,0.193,-0.339,0.182,,
1857,8,-0.453,0.364,-0.473,0.229,-0.376,0.193,-0.34,0.182,,
1857,9,-0.484,0.343,-0.432,0.222,-0.375,0.193,-0.342,0.181,,
1857,10,-0.401,0.223,-0.415,0.205,-0.373,0.197,-0.341,0.18,,
1857,11,-0.423,0.338,-0.413,0.226,-0.373,0.194,-0.345,0.179,,
1857,12,-0.32,0.478,-0.418,0.223,-0.373,0.192,-0.349,0.178,,
1858,1,-0.623,0.446,-0.396,0.232,-0.372,0.188,-0.35,0.178,,
1858,2,-0.279,0.428,-0.38,0.242,-0.375,0.186,-0.353,0.177,,
1858,3,-0.206,0.269,-0.374,0.236,-0.374,0.188,-0.354,0.175,,
1858,4,-0.41,0.248,-0.365,0.224,-0.38,0.187,-0.353,0.178,,
1858,5,-0.355,0.619,-0.364,0.233,-0.383,0.188,-0.355,0.178,,
1858,6,-0.429,0.496,-0.373,0.226,-0.382,0.191,-0.359,0.181,,
1858,7,-0.369,0.493,-0.365,0.219,-0.382,0.193,-0.362,0.183,,
1858,8,-0.264,0.374,-0.367,0.209,-0.391,0.19,-0.365,0.182,,
1858,9,-0.405,0.186,-0.389,0.221,-0.396,0.189,-0.368,0.181,,
1858,10,-0.301,0.263,-0.37,0.233,-0.384,0.184,-0.37,0.181,,
1858,11,-0.407,0.372,-0.359,0.21,-0.385,0.183,-0.37,0.182,,
1858,12,-0.427,0.194,-0.332,0.201,-0.382,0.181,-0.37,0.185,,
1859,1,-0.527,0.228,-0.337,0.189,-0.384,0.178,-0.37,0.184,,
1859,2,-0.302,0.253,-0.333,0.186,-0.378,0.185,-0.371,0.184,,
1859,3,-0.465,0.432,-0.349,0.185,-0.372,0.19,-0.373,0.183,,
1859,4,-0.191,0.408,-0.35,0.188,-0.372,0.188,-0.376,0.183,,
1859,5,-0.217,0.252,-0.343,0.206,-0.365,0.185,-0.375,0.181,,
1859,6,-0.102,0.393,-0.338,0.234,-0.364,0.184,-0.374,0.182,,
1859,7,-0.431,0.407,-0.322,0.22,-0.366,0.183,-0.373,0.182,,
1859,8,-0.221,0.36,-0.317,0.219,-0.367,0.183,-0.374,0.183,,
1859,9,-0.598,0.203,-0.29,0.228,-0.366,0.181,-0.377,0.183,,
1859,10,-0.31,0.29,-0.292,0.223,-0.364,0.174,-0.377,0.185,,
1859,11,-0.318,0.573,-0.294,0.212,-0.362,0.174,-0.378,0.184,,
1859,12,-0.374,0.493,-0.302,0.219,-0.362,0.173,-0.379,0.184,-0.328,0.174
1860,1,-0.336,0.442,-0.297,0.217,-0.359,0.172,-0.377,0.185,-0.327,0.174
1860,2,-0.239,0.478,-0.309,0.21,-0.358,0.172,-0.375,0.183,-0.326,0.173
1860,3,-0.14,0.424,-0.27,0.21,-0.355,0.169,-0.375,0.183,-0.325,0.174
1860,4,-0.214,0.333,-0.276,0.215,-0.352,0.169,-0.374,0.185,-0.322,0.175
1860,5,-0.24,0.269,-0.276,0.202,-0.354,0.17,-0.374,0.183,-0.322,0.175
1860,6,-0.206,0.358,-0.279,0.208,-0.36,0.171,-0.372,0.181,-0.321,0.175
1860,7,-0.362,0.318,-0.283,0.219,-0.36,0.175,-0.368,0.179,-0.321,0.174
1860,8,-0.376,0.205,-0.331,0.198,-0.364,0.175,-0.368,0.177,-0.32,0.174
1860,9,-0.122,0.246,-0.357,0.205,-0.366,0.176,-0.367,0.177,-0.32,0.173
1860,10,-0.388,0.34,-0.338,0.198,-0.363,0.182,-0.369,0.176,-0.321,0.173
1860,11,-0.318,0.267,-0.352,0.207,-0.362,0.179,-0.368,0.178,-0.322,0.173
1860,12,-0.413,0.419,-0.339,0.198,-0.363,0.182,-0.366,0.177,-0.322,0.173
1861,1,-0.377,0.495,-0.333,0.195,-0.365,0.183,-0.365,0.177,-0.321,0.174
1861,2,-0.813,0.376,-0.322,0.207,-0.37,0.182,-0.365,0.175,-0.321,0.176
1861,3,-0.451,0.407,-0.336,0.224,-0.373,0.182,-0.366,0.174,-0.321,0.176
1861,4,0.004,0.559,-0.338,0.238,-0.376,0.183,-0.362,0.175,-0.319,0.178
1861,5,-0.403,0.493,-0.313,0.247,-0.375,0.185,-0.363,0.175,-0.318,0.178
1861,6,-0.048,0.132,-0.327,0.243,-0.374,0.19,-0.363,0.176,-0.317,0.179
1861,7,-0.292,0.428,-0.355,0.225,-0.374,0.194,-0.362,0.176,-0.317,0.179
1861,8,-0.237,0.538,-0.346,0.236,-0.379,0.195,-0.358,0.18,-0.316,0.179
1861,9,-0.294,0.504,-0.363,0.228,-0.38,0.195,-0.356,0.182,-0.316,0.178
1861,10,-0.42,0.272,-0.403,0.196,-0.388,0.192,-0.354,0.184,-0.316,0.179
1861,11,-0.013,0.363,-0.391,0.202,-0.389,0.19,-0.352,0.183,-0.314,0.179
1861,12,-0.577,0.429,-0.418,0.205,-0.39,0.191,-0.348,0.185,-0.313,0.179
1862,1,-0.716,0.437,-0.435,0.204,-0.385,0.192,-0.346,0.188,-0.311,0.179
1862,2,-0.704,0.405,-0.447,0.184,-0.389,0.188,-0.345,0.188,-0.31,0.178
1862,3,-0.654,0.254,-0.447,0.171,-0.386,0.188,-0.341,0.189,-0.309,0.178
1862,4,-0.478,0.386,-0.428,0.174,-0.386,0.191,-0.34,0.188,-0.307,0.177
1862,5,-0.258,0.358,-0.472,0.166,-0.383,0.187,-0.34,0.188,-0.306,0.177
1862,6,-0.372,0.498,-0.483,0.168,-0.383,0.185,-0.339,0.189,-0.307,0.177
1862,7,-0.494,0.35,-0.474,0.208,-0.378,0.19,-0.335,0.19,-0.306,0.177
1862,8,-0.389,0.295,-0.459,0.206,-0.374,0.186,-0.336,0.191,-0.306,0.178
1862,9,-0.284,0.275,-0.434,0.211,-0.375,0.188,-0.334,0.19,-0.306,0.177
1862,10,-0.197,0.357,-0.41,0.242,-0.375,0.188,-0.332,0.19,-0.307,0.177
1862,11,-0.546,0.295,-0.412,0.249,-0.375,0.187,-0.331,0.191,-0.308,0.177
1862,12,-0.708,0.581,-0.423,0.27,-0.371,0.183,-0.333,0.191,-0.309,0.176
1863,1,-0.601,0.613,-0.424,0.285,-0.364,0.181,-0.329,0.19,-0.308,0.175
1863,2,-0.532,0.492,-0.44,0.293,-0.36,0.181,-0.331,0.191,-0.308,0.174
1863,3,-0.353,0.329,-0.464,0.301,-0.36,0.178,-0.331,0.193,-0.307,0.173
1863,4,-0.185,0.5,-0.486,0.289,-0.357,0.178,-0.328,0.194,-0.308,0.174
1863,5,-0.29,0.393,-0.472,0.284,-0.354,0.179,-0.326,0.192,-0.308,0.174
1863,6,-0.498,0.609,-0.442,0.306,-0.35,0.177,-0.323,0.188,-0.309,0.173
1863,7,-0.501,0.488,-0.437,0.296,-0.348,0.177,-0.32,0.185,-0.31,0.174
1863,8,-0.583,0.361,-0.441,0.301,-0.338,0.177,-0.319,0.184,-0.309,0.173
1863,9,-0.573,0.393,-0.455,0.304,-0.336,0.177,-0.316,0.185,-0.31,0.173
1863,10,-0.468,0.432,-0.497,0.286,-0.339,0.181,-0.313,0.186,-0.31,0.173
1863,11,-0.374,0.408,-0.497,0.274,-0.342,0.184,-0.311,0.189,-0.31,0.174
1863,12,-0.343,0.694,-0.467,0.257,-0.344,0.188,-0.308,0.193,-0.31,0.174
1864,1,-0.544,0.56,-0.439,0.263,-0.339,0.191,-0.306,0.193,-0.309,0.173
1864,2,-0.582,0.447,-0.425,0.261,-0.338,0.192,-0.303,0.194,-0.309,0.172
1864,3,-0.521,0.397,-0.412,0.262,-0.341,0.191,-0.303,0.194,-0.309,0.173
1864,4,-0.684,0.291,-0.4,0.266,-0.337,0.197,-0.303,0.192,-0.31,0.172
1864,5,-0.292,0.307,-0.383,0.262,-0.339,0.199,-0.302,0.193,-0.31,0.172
1864,6,-0.143,0.401,-0.382,0.233,-0.332,0.203,-0.302,0.193,-0.311,0.171
1864,7,-0.16,0.296,-0.339,0.237,-0.326,0.21,-0.302,0.192,-0.311,0.171
1864,8,-0.417,0.31,-0.295,0.24,-0.322,0.21,-0.304,0.192,-0.312,0.171
1864,9,-0.42,0.37,-0.265,0.246,-0.317,0.215,-0.302,0.192,-0.312,0.17
1864,10,-0.324,0.36,-0.225,0.253,-0.316,0.22,-0.302,0.193,-0.313,0.171
1864,11,-0.164,0.398,-0.221,0.257,-0.319,0.224,-0.3,0.192,-0.314,0.171
1864,12,-0.328,0.353,-0.207,0.241,-0.316,0.229,-0.3,0.193,-0.315,0.171
1865,1,-0.035,0.554,-0.188,0.245,-0.312,0.234,-0.301,0.195,-0.315,0.171
1865,2,-0.047,0.536,-0.166,0.23,-0.313,0.236,-0.302,0.194,-0.314,0.169
1865,3,-0.164,0.403,-0.141,0.221,-0.312,0.236,-0.302,0.196,-0.316,0.168
1865,4,-0.203,0.412,-0.132,0.207,-0.313,0.237,-0.301,0.195,-0.316,0.169
1865,5,-0.243,0.419,-0.129,0.212,-0.309,0.239,-0.302,0.194,-0.316,0.167
1865,6,0.015,0.399,-0.114,0.197,-0.305,0.241,-0.302,0.193,-0.316,0.166
1865,7,0.077,0.54,-0.134,0.184,-0.299,0.234,-0.301,0.192,-0.315,0.165
1865,8,-0.155,0.245,-0.149,0.191,-0.298,0.238,-0.299,0.192,-0.315,0.164
1865,9,-0.115,0.335,-0.161,0.192,-0.295,0.24,-0.301,0.189,-0.315,0.163
1865,10,-0.228,0.244,-0.161,0.205,-0.294,0.235,-0.302,0.189,-0.315,0.163
1865,11,-0.121,0.534,-0.188,0.208,-0.291,0.234,-0.303,0.189,-0.315,0.163
1865,12,-0.149,0.545,-0.204,0.227,-0.283,0.227,-0.304,0.188,-0.315,0.162
1866,1,-0.271,0.517,-0.211,0.241,-0.276,0.224,-0.303,0.189,-0.315,0.162
1866,2,-0.233,0.527,-0.213,0.265,-0.267,0.223,-0.299,0.19,-0.316,0.161
1866,3,-0.302,0.517,-0.24,0.283,-0.259,0.223,-0.297,0.19,-0.316,0.161
1866,4,-0.21,0.476,-0.238,0.319,-0.251,0.221,-0.299,0.191,-0.314,0.161
1866,5,-0.557,0.571,-0.238,0.313,-0.246,0.223,-0.296,0.193,-0.314,0.16
1866,6,-0.186,0.597,-0.237,0.323,-0.242,0.222,-0.296,0.194,-0.315,0.16
1866,7,-0.007,0.562,-0.247,0.322,-0.237,0.221,-0.295,0.195,-0.315,0.159
1866,8,-0.18,0.551,-0.268,0.323,-0.228,0.219,-0.295,0.193,-0.314,0.16
1866,9,-0.434,0.458,-0.267,0.345,-0.226,0.217,-0.295,0.19,-0.312,0.16
1866,10,-0.207,0.591,-0.288,0.334,-0.219,0.214,-0.294,0.19,-0.311,0.159
1866,11,-0.124,0.451,-0.276,0.34,-0.215,0.214,-0.296,0.19,-0.311,0.159
1866,12,-0.138,0.442,-0.277,0.354,-0.215,0.212,-0.293,0.191,-0.309,0.16
1867,1,-0.383,0.574,-0.296,0.36,-0.219,0.21,-0.289,0.192,-0.307,0.16
1867,2,-0.485,0.77,-0.323,0.343,-0.22,0.211,-0.284,0.191,-0.305,0.16
1867,3,-0.3,0.507,-0.304,0.307,-0.218,0.211,-0.281,0.193,-0.302,0.16
1867,4,-0.455,0.485,-0.307,0.292,-0.219,0.209,-0.28,0.195,-0.299,0.159
1867,5,-0.413,0.526,-0.321,0.313,-0.217,0.209,-0.278,0.195,-0.297,0.159
1867,6,-0.204,0.675,-0.353,0.307,-0.218,0.211,-0.277,0.196,-0.296,0.157
1867,7,-0.231,0.508,-0.339,0.283,-0.225,0.21,-0.274,0.197,-0.293,0.156
1867,8,-0.499,0.339,-0.336,0.295,-0.229,0.211,-0.272,0.198,-0.292,0.156
1867,9,-0.213,0.236,-0.328,0.283,-0.23,0.213,-0.27,0.198,-0.29,0.156
1867,10,-0.239,0.608,-0.297,0.283,-0.228,0.212,-0.272,0.199,-0.288,0.156
1867,11,-0.293,0.416,-0.272,0.258,-0.23,0.211,-0.271,0.2,-0.286,0.156
1867,12,-0.517,0.639,-0.259,0.225,-0.234,0.213,-0.268,0.2,-0.284,0.156
1868,1,-0.22,0.366,-0.246,0.191,-0.238,0.213,-0.266,0.196,-0.281,0.155
1868,2,-0.444,0.484,-0.21,0.179,-0.238,0.214,-0.263,0.195,-0.279,0.154
1868,3,-0.203,0.392,-0.197,0.189,-0.243,0.211,-0.261,0.195,-0.277,0.154
1868,4,-0.091,0.437,-0.177,0.166,-0.246,0.211,-0.262,0.192,-0.274,0.154
1868,5,-0.115,0.346,-0.16,0.185,-0.253,0.207,-0.262,0.191,-0.273,0.153
1868,6,-0.048,0.219,-0.127,0.224,-0.258,0.206,-0.26,0.188,-0.271,0.153
1868,7,-0.071,0.248,-0.126,0.233,-0.259,0.206,-0.257,0.187,-0.268,0.152
1868,8,-0.061,0.293,-0.092,0.231,-0.26,0.209,-0.254,0.187,-0.267,0.151
1868,9,-0.058,0.324,-0.108,0.224,-0.259,0.209,-0.252,0.187,-0.265,0.151
1868,10,-0.0,0.264,-0.123,0.206,-0.259,0.209,-0.251,0.187,-0.264,0.151
1868,11,-0.097,0.586,-0.117,0.204,-0.25,0.211,-0.25,0.189,-0.263,0.152
1868,12,-0.113,0.69,-0.126,0.215,-0.249,0.211,-0.249,0.185,-0.261,0.153
1869,1,-0.206,0.581,-0.154,0.236,-0.252,0.209,-0.247,0.185,-0.259,0.153
1869,2,-0.038,0.458,-0.188,0.252,-0.251,0.205,-0.246,0.183,-0.258,0.153
1869,3,-0.403,0.379,-0.207,0.264,-0.25,0.199,-0.246,0.183,-0.257,0.154
1869,4,-0.266,0.261,-0.239,0.263,-0.251,0.198,-0.244,0.182,-0.256,0.154
1869,5,-0.043,0.413,-0.238,0.23,-0.254,0.2,-0.245,0.183,-0.256,0.154
1869,6,-0.154,0.32,-0.26,0.209,-0.255,0.199,-0.249,0.181,-0.257,0.155
1869,7,-0.403,0.343,-0.28,0.211,-0.252,0.197,-0.25,0.179,-0.256,0.155
1869,8,-0.479,0.364,-0.299,0.192,-0.247,0.194,-0.25,0.178,-0.256,0.154
1869,9,-0.285,0.293,-0.284,0.199,-0.246,0.193,-0.248,0.177,-0.255,0.153
1869,10,-0.386,0.34,-0.271,0.212,-0.244,0.19,-0.249,0.177,-0.255,0.154
1869,11,-0.084,0.268,-0.295,0.2,-0.238,0.185,-0.25,0.178,-0.254,0.155
1869,12,-0.371,0.36,-0.302,0.2,-0.239,0.181,-0.25,0.179,-0.255,0.155
1870,1,-0.453,0.419,-0.281,0.2,-0.237,0.178,-0.252,0.177,-0.255,0.156
1870,2,-0.267,0.318,-0.254,0.2,-0.23,0.176,-0.253,0.177,-0.256,0.155
1870,3,-0.216,0.457,-0.265,0.184,-0.229,0.178,-0.256,0.176,-0.256,0.155
1870,4,-0.118,0.323,-0.27,0.163,-0.231,0.178,-0.257,0.175,-0.256,0.154
1870,5,-0.33,0.212,-0.305,0.162,-0.234,0.178,-0.257,0.174,-0.256,0.155
1870,6,-0.236,0.326,-0.314,0.157,-0.231,0.177,-0.26,0.175,-0.256,0.154
1870,7,-0.144,0.255,-0.303,0.152,-0.232,0.176,-0.263,0.174,-0.256,0.154
1870,8,-0.162,0.258,-0.305,0.149,-0.228,0.171,-0.263,0.174,-0.254,0.154
1870,9,-0.41,0.207,-0.307,0.123,-0.227,0.171,-0.263,0.173,-0.255,0.154
1870,10,-0.452,0.178,-0.317,0.139,-0.231,0.169,-0.262,0.175,-0.254,0.155
1870,11,-0.506,0.232,-0.291,0.163,-0.233,0.168,-0.263,0.173,-0.254,0.155
1870,12,-0.469,0.243,-0.28,0.177,-0.237,0.168,-0.265,0.173,-0.252,0.155
1871,1,-0.329,0.579,-0.282,0.186,-0.239,0.171,-0.266,0.172,-0.252,0.155
1871,2,-0.285,0.372,-0.282,0.184,-0.24,0.172,-0.267,0.173,-0.248,0.156
1871,3,-0.239,0.454,-0.277,0.192,-0.245,0.174,-0.266,0.176,-0.247,0.157
1871,4,-0.243,0.402,-0.264,0.215,-0.251,0.175,-0.266,0.177,-0.247,0.157
1871,5,-0.015,0.394,-0.243,0.226,-0.254,0.173,-0.265,0.176,-0.245,0.157
1871,6,-0.102,0.388,-0.22,0.235,-0.256,0.166,-0.267,0.176,-0.246,0.158
1871,7,-0.178,0.502,-0.21,0.234,-0.258,0.167,-0.268,0.176,-0.246,0.159
1871,8,-0.162,0.251,-0.201,0.221,-0.265,0.166,-0.269,0.174,-0.245,0.159
1871,9,-0.348,0.273,-0.205,0.231,-0.266,0.169,-0.269,0.173,-0.245,0.158
1871,10,-0.294,0.277,-0.212,0.218,-0.269,0.172,-0.268,0.174,-0.245,0.158
1871,11,-0.25,0.417,-0.213,0.208,-0.276,0.173,-0.27,0.176,-0.246,0.159
1871,12,-0.202,0.457,-0.227,0.198,-0.282,0.169,-0.271,0.176,-0.245,0.159
1872,1,-0.204,0.562,-0.224,0.192,-0.282,0.167,-0.269,0.175,-0.242,0.159
1872,2,-0.179,0.352,-0.214,0.192,-0.279,0.166,-0.264,0.175,-0.24,0.159
1872,3,-0.283,0.441,-0.197,0.208,-0.277,0.165,-0.262,0.174,-0.238,0.161
1872,4,-0.333,0.319,-0.205,0.212,-0.279,0.165,-0.258,0.172,-0.237,0.163
1872,5,-0.028,0.434,-0.224,0.214,-0.284,0.167,-0.254,0.17,-0.237,0.162
1872,6,-0.265,0.37,-0.235,0.208,-0.283,0.165,-0.253,0.166,-0.236,0.163
1872,7,-0.145,0.356,-0.241,0.188,-0.279,0.164,-0.252,0.164,-0.236,0.163
1872,8,-0.039,0.265,-0.243,0.177,-0.278,0.164,-0.248,0.164,-0.235,0.163
1872,9,-0.15,0.314,-0.234,0.181,-0.283,0.162,-0.246,0.165,-0.235,0.163
1872,10,-0.38,0.328,-0.232,0.183,-0.287,0.164,-0.243,0.166,-0.235,0.163
1872,11,-0.482,0.351,-0.247,0.173,-0.285,0.162,-0.241,0.166,-0.234,0.164
1872,12,-0.329,0.298,-0.25,0.163,-0.287,0.161,-0.236,0.165,-0.233,0.164
1873,1,-0.285,0.257,-0.253,0.151,-0.288,0.162,-0.233,0.164,-0.232,0.163
1873,2,-0.195,0.187,-0.26,0.15,-0.289,0.161,-0.228,0.162,-0.231,0.162
1873,3,-0.173,0.289,-0.278,0.151,-0.284,0.166,-0.223,0.162,-0.23,0.162
1873,4,-0.312,0.366,-0.278,0.149,-0.277,0.169,-0.22,0.161,-0.23,0.161
1873,5,-0.207,0.195,-0.26,0.176,-0.273,0.172,-0.219,0.162,-0.229,0.161
1873,6,-0.302,0.338,-0.254,0.168,-0.272,0.174,-0.218,0.163,-0.228,0.161
1873,7,-0.18,0.326,-0.254,0.198,-0.273,0.17,-0.216,0.166,-0.227,0.161
1873,8,-0.123,0.283,-0.276,0.21,-0.273,0.171,-0.216,0.166,-0.227,0.161
1873,9,-0.365,0.29,-0.3,0.219,-0.272,0.179,-0.215,0.168,-0.226,0.161
1873,10,-0.383,0.257,-0.313,0.217,-0.273,0.181,-0.216,0.167,-0.225,0.161
1873,11,-0.27,0.517,-0.333,0.239,-0.28,0.18,-0.215,0.164,-0.225,0.161
1873,12,-0.256,0.328,-0.353,0.235,-0.285,0.182,-0.215,0.163,-0.226,0.159
1874,1,-0.287,0.541,-0.368,0.223,-0.285,0.181,-0.212,0.163,-0.225,0.159
1874,2,-0.457,0.318,-0.386,0.209,-0.287,0.18,-0.213,0.163,-0.223,0.158
1874,3,-0.46,0.232,-0.37,0.206,-0.287,0.183,-0.21,0.165,-0.222,0.158
1874,4,-0.47,0.305,-0.379,0.205,-0.285,0.186,-0.209,0.169,-0.221,0.157
1874,5,-0.448,0.446,-0.385,0.188,-0.286,0.19,-0.21,0.171,-0.222,0.157
1874,6,-0.543,0.211,-0.391,0.189,-0.287,0.189,-0.211,0.173,-0.223,0.157
1874,7,-0.354,0.356,-0.388,0.172,-0.286,0.184,-0.21,0.173,-0.224,0.157
1874,8,-0.337,0.242,-0.366,0.182,-0.282,0.185,-0.209,0.174,-0.224,0.157
1874,9,-0.172,0.304,-0.369,0.188,-0.277,0.187,-0.209,0.173,-0.225,0.157
1874,10,-0.492,0.435,-0.358,0.208,-0.273,0.186,-0.207,0.173,-0.225,0.157
1874,11,-0.349,0.407,-0.338,0.178,-0.271,0.188,-0.208,0.174,-0.227,0.158
1874,12,-0.321,0.221,-0.324,0.195,-0.268,0.189,-0.21,0.173,-0.227,0.157
1875,1,-0.251,0.334,-0.315,0.207,-0.266,0.188,-0.209,0.173,-0.229,0.157
1875,2,-0.192,0.419,-0.303,0.219,-0.266,0.187,-0.21,0.172,-0.231,0.157
1875,3,-0.506,0.473,-0.296,0.231,-0.263,0.185,-0.21,0.171,-0.232,0.158
1875,4,-0.337,0.326,-0.259,0.223,-0.256,0.185,-0.212,0.172,-0.233,0.158
1875,5,-0.21,0.33,-0.251,0.22,-0.247,0.186,-0.21,0.174,-0.234,0.159
